Order Date,Product Name,Category,Region,Quantity,Sales,Profit
31-12-2024,Printer,Office,North,4,3640,348.93
27-11-2022,Mouse,Accessories,East,7,1197,106.53
11-05-2022,Tablet,Electronics,South,5,5865,502.73
16-03-2024,Mouse,Accessories,South,2,786,202.87
10-09-2022,Mouse,Accessories,West,1,509,103.28
01-12-2023,Camera,Electronics,West,1,524,106.35
09-10-2023,Headphones,Accessories,North,7,6167,1027.98
14-01-2022,Camera,Electronics,South,7,3059,873.5
02-04-2022,Smartwatch,Electronics,East,9,5526,595.28
22-10-2024,Printer,Office,South,8,672,186.37
04-12-2023,Monitor,Accessories,South,6,7074,1357.68
27-09-2022,Smartwatch,Electronics,East,2,502,137.4
21-12-2023,Tablet,Electronics,North,7,7462,2166.17
03-02-2024,Smartphone,Electronics,West,5,4205,585.29
10-10-2023,Camera,Electronics,West,1,570,138.54
16-10-2022,Headphones,Accessories,East,1,441,102.42
15-05-2022,Mouse,Accessories,North,7,7469,589.81
11-02-2023,Tablet,Electronics,South,2,2212,145.75
27-12-2023,Tablet,Electronics,East,5,740,146.39
05-10-2023,Headphones,Accessories,North,1,662,193.92
05-03-2024,Mouse,Accessories,North,7,5712,651.27
18-07-2023,Smartwatch,Electronics,North,3,2739,572.73
25-06-2023,Keyboard,Accessories,West,5,1400,213.63
13-11-2023,Printer,Office,North,3,3477,939.2
09-07-2022,Camera,Electronics,North,5,3475,570.36
11-12-2023,Laptop,Electronics,West,9,6138,1562.14
18-03-2023,Camera,Electronics,West,5,3665,406.93
09-08-2024,Printer,Office,North,2,2372,206.42
04-05-2024,Laptop,Electronics,North,2,1382,211.11
04-09-2022,Laptop,Electronics,West,1,1126,194.08
21-10-2022,Printer,Office,West,8,1376,152.1
22-01-2024,Mouse,Accessories,West,4,988,147.91
09-04-2023,Laptop,Electronics,North,9,10773,1907.36
07-02-2023,Headphones,Accessories,South,4,3252,713.46
04-05-2023,Headphones,Accessories,North,3,2739,202.81
18-04-2023,Tablet,Electronics,South,7,2709,702.79
12-12-2022,Printer,Office,West,3,936,201.24
11-09-2022,Camera,Electronics,West,4,3720,410.92
26-03-2024,Mouse,Accessories,West,5,5320,716.91
20-09-2023,Headphones,Accessories,East,4,804,121.51
25-05-2023,Laptop,Electronics,North,8,1224,246.77
04-12-2022,Headphones,Accessories,South,9,8667,781.78
10-06-2022,Monitor,Accessories,West,3,3018,320.11
05-02-2023,Laptop,Electronics,West,5,4325,1023.39
20-01-2024,Laptop,Electronics,South,3,1557,181.08
27-01-2022,Monitor,Accessories,South,6,3672,1002.5
29-03-2023,Mouse,Accessories,West,1,333,72.34
17-01-2022,Headphones,Accessories,West,4,2384,577.26
26-11-2024,Mouse,Accessories,West,6,888,210.39
19-09-2024,Laptop,Electronics,West,5,3280,954.17
20-07-2023,Mouse,Accessories,South,7,1239,177.39
03-05-2024,Headphones,Accessories,East,8,5880,436.85
03-09-2022,Smartphone,Electronics,West,2,1668,437.3
09-07-2024,Printer,Office,West,7,4109,1037.64
17-11-2022,Smartwatch,Electronics,West,7,595,148.5
28-12-2023,Headphones,Accessories,East,7,8155,1587.91
30-05-2022,Monitor,Accessories,South,3,1872,553.1
17-04-2024,Smartwatch,Electronics,East,6,2124,126.03
30-09-2024,Monitor,Accessories,West,5,5210,1338.8
02-06-2024,Mouse,Accessories,South,7,5761,362.48
26-09-2022,Headphones,Accessories,South,7,6895,1596.35
17-12-2024,Smartwatch,Electronics,East,3,2118,317.08
09-10-2024,Smartwatch,Electronics,North,5,830,58.28
14-07-2023,Smartwatch,Electronics,North,1,851,93.56
05-12-2023,Tablet,Electronics,East,5,4730,1365.63
03-06-2022,Mouse,Accessories,West,6,5460,845.75
28-12-2024,Headphones,Accessories,East,5,5795,310.6
06-08-2022,Laptop,Electronics,South,4,2008,338.44
06-06-2023,Mouse,Accessories,South,7,2842,425.24
01-02-2024,Mouse,Accessories,East,4,3404,392.22
31-05-2023,Smartwatch,Electronics,West,1,1065,228.63
14-06-2024,Tablet,Electronics,West,7,2149,121.69
14-08-2024,Keyboard,Accessories,East,8,5912,1143.04
01-02-2023,Mouse,Accessories,West,3,3348,331.28
28-04-2024,Smartphone,Electronics,South,3,2409,531.79
05-04-2024,Tablet,Electronics,North,2,328,39.51
31-01-2024,Smartphone,Electronics,West,8,6224,1561.42
09-01-2024,Smartwatch,Electronics,North,5,2530,486.09
06-04-2022,Headphones,Accessories,West,4,4108,462.17
22-05-2024,Printer,Office,South,5,1640,391.36
30-12-2023,Laptop,Electronics,South,1,111,19.33
17-03-2022,Headphones,Accessories,North,1,445,128.89
24-05-2022,Printer,Office,North,4,3600,623.72
09-06-2024,Mouse,Accessories,North,3,1335,176.44
01-12-2024,Keyboard,Accessories,South,5,3090,242.15
20-10-2023,Printer,Office,East,5,3910,538.52
05-03-2024,Camera,Electronics,South,1,219,32.67
05-12-2022,Smartphone,Electronics,West,5,390,27.77
05-08-2022,Laptop,Electronics,North,6,3294,359.61
21-03-2023,Keyboard,Accessories,West,4,4572,1038.05
08-02-2022,Monitor,Accessories,South,7,980,109.94
01-04-2023,Headphones,Accessories,North,2,2262,532.12
14-12-2022,Camera,Electronics,South,7,7518,1655.91
14-05-2022,Camera,Electronics,South,1,873,158.97
16-02-2022,Mouse,Accessories,North,6,1512,423.03
28-08-2024,Laptop,Electronics,West,1,705,165.16
30-10-2023,Smartwatch,Electronics,North,8,3256,533.7
24-06-2023,Tablet,Electronics,West,4,556,81.77
17-05-2023,Mouse,Accessories,East,9,7101,2105.82
06-04-2023,Laptop,Electronics,West,9,8802,1344.96
26-03-2023,Headphones,Accessories,South,6,5592,1294.16
12-10-2024,Tablet,Electronics,North,2,1852,168.92
26-06-2022,Monitor,Accessories,East,1,195,57.88
15-04-2022,Mouse,Accessories,East,9,7884,2054.02
10-12-2023,Laptop,Electronics,East,5,4360,1160.55
23-09-2024,Mouse,Accessories,North,6,4920,929.18
01-01-2022,Mouse,Accessories,East,3,3474,565
03-02-2022,Keyboard,Accessories,West,1,930,222.5
14-03-2023,Tablet,Electronics,South,7,1421,248.02
24-08-2022,Headphones,Accessories,North,2,634,161.1
07-07-2024,Camera,Electronics,East,1,673,114.42
13-04-2022,Mouse,Accessories,South,5,3135,787.7
08-05-2024,Smartphone,Electronics,East,6,882,184.48
10-09-2024,Smartphone,Electronics,East,4,1192,212.77
18-06-2024,Printer,Office,South,3,390,112.08
10-09-2024,Tablet,Electronics,North,1,834,95.54
06-05-2022,Smartphone,Electronics,East,6,612,83.75
18-06-2024,Headphones,Accessories,West,9,8073,710.23
29-10-2023,Keyboard,Accessories,North,8,2640,723.88
13-11-2023,Smartphone,Electronics,North,3,3234,440.7
21-08-2022,Monitor,Accessories,West,5,4435,355.51
04-03-2024,Smartwatch,Electronics,North,2,2302,305.07
17-04-2022,Camera,Electronics,East,6,1728,307.44
20-12-2023,Laptop,Electronics,East,4,228,54.05
19-03-2022,Tablet,Electronics,West,6,3450,705.74
07-07-2024,Smartphone,Electronics,South,8,7456,1702.48
30-04-2023,Smartphone,Electronics,West,6,4728,705.85
22-03-2024,Smartwatch,Electronics,North,7,945,124.62
08-03-2022,Laptop,Electronics,North,4,296,65.05
15-09-2023,Smartphone,Electronics,West,4,640,149.89
01-03-2023,Tablet,Electronics,North,1,797,65.27
24-10-2023,Monitor,Accessories,North,4,1456,431.89
22-04-2024,Monitor,Accessories,South,6,4038,364.11
27-06-2023,Tablet,Electronics,West,7,5656,355.81
13-04-2023,Mouse,Accessories,West,4,3876,302.37
19-05-2023,Keyboard,Accessories,South,6,1002,114.7
15-11-2024,Headphones,Accessories,East,9,2187,413.76
25-12-2023,Mouse,Accessories,North,6,7146,1627.42
31-03-2022,Keyboard,Accessories,South,1,189,14.88
24-04-2024,Monitor,Accessories,East,5,940,266.02
10-01-2022,Headphones,Accessories,North,1,951,127.58
17-11-2022,Printer,Office,East,2,124,27.42
29-06-2024,Mouse,Accessories,West,9,7506,594.28
14-11-2022,Monitor,Accessories,West,7,8176,2308.76
11-08-2023,Smartphone,Electronics,East,5,2125,632.68
22-05-2024,Headphones,Accessories,North,1,967,59.98
19-03-2022,Headphones,Accessories,South,5,270,29.41
23-10-2022,Keyboard,Accessories,West,9,10035,1486.3
26-02-2023,Printer,Office,North,8,6792,1125.23
03-10-2024,Printer,Office,East,1,714,99.13
17-07-2022,Smartphone,Electronics,South,5,765,157.64
04-11-2024,Headphones,Accessories,East,7,4221,358.02
24-02-2023,Laptop,Electronics,North,4,2108,576.48
08-08-2024,Monitor,Accessories,North,9,10530,2387.63
14-05-2024,Keyboard,Accessories,South,6,3396,914.17
15-01-2022,Monitor,Accessories,North,4,1060,213.05
10-05-2022,Tablet,Electronics,East,5,480,73.07
10-03-2022,Headphones,Accessories,West,3,2529,285.65
23-01-2022,Smartwatch,Electronics,East,8,4792,511.97
19-09-2024,Smartwatch,Electronics,East,8,8056,605.8
06-06-2024,Tablet,Electronics,North,4,4228,947.76
10-10-2024,Tablet,Electronics,East,1,653,93.78
24-03-2024,Tablet,Electronics,North,9,7452,1212.51
21-07-2023,Mouse,Accessories,East,4,4128,1156.71
21-07-2022,Tablet,Electronics,West,5,5090,1201.56
01-09-2022,Camera,Electronics,North,5,4930,387.33
20-04-2023,Smartwatch,Electronics,South,6,2610,434.37
11-12-2023,Laptop,Electronics,North,3,2139,415.84
29-09-2024,Tablet,Electronics,South,1,226,55.4
20-11-2023,Smartwatch,Electronics,West,2,2244,212.08
15-07-2023,Monitor,Accessories,East,6,3150,578.87
24-12-2023,Laptop,Electronics,South,7,3388,347.19
13-08-2023,Laptop,Electronics,East,8,8736,580.31
24-04-2022,Smartphone,Electronics,South,2,1102,176.53
13-07-2024,Monitor,Accessories,East,3,2640,199.97
11-06-2022,Printer,Office,West,3,2547,300.74
28-10-2024,Laptop,Electronics,North,7,728,64.82
24-11-2022,Camera,Electronics,South,7,3444,607.44
03-10-2024,Camera,Electronics,West,5,3140,853.66
24-03-2024,Smartphone,Electronics,East,3,435,129.27
28-06-2024,Keyboard,Accessories,East,4,856,72.99
31-05-2022,Printer,Office,North,2,112,23.33
25-03-2024,Headphones,Accessories,North,3,2247,507.79
31-01-2023,Keyboard,Accessories,West,2,1512,298.73
23-06-2024,Mouse,Accessories,South,5,4915,1196.6
16-08-2023,Mouse,Accessories,South,3,2709,663.54
10-06-2023,Tablet,Electronics,North,7,1239,118.36
09-05-2023,Tablet,Electronics,West,2,572,86.16
08-05-2022,Smartwatch,Electronics,North,2,1708,93.25
06-11-2024,Smartwatch,Electronics,North,4,360,42.66
08-12-2022,Camera,Electronics,North,6,3822,388.34
25-09-2022,Camera,Electronics,North,6,4680,932.97
10-07-2024,Camera,Electronics,North,5,2520,487.18
29-03-2024,Smartwatch,Electronics,North,2,2138,619.29
11-01-2022,Keyboard,Accessories,West,3,2529,169.6
08-04-2022,Keyboard,Accessories,East,1,236,29.33
21-01-2024,Tablet,Electronics,West,6,2730,636.48
27-04-2023,Headphones,Accessories,North,3,3021,872.49
06-11-2024,Smartwatch,Electronics,North,2,244,16.78
11-05-2022,Camera,Electronics,South,8,728,120.06
02-10-2022,Mouse,Accessories,North,3,453,89.49
12-01-2022,Laptop,Electronics,South,1,379,84.38
09-01-2023,Tablet,Electronics,West,3,2130,510.69
04-05-2023,Monitor,Accessories,North,8,4120,710.11
07-09-2024,Smartwatch,Electronics,South,7,3150,299.7
17-05-2022,Smartwatch,Electronics,East,7,2688,603.07
17-08-2023,Tablet,Electronics,East,2,1752,501.19
07-09-2023,Keyboard,Accessories,North,7,7308,948.4
11-05-2022,Tablet,Electronics,North,3,2007,160.84
12-05-2023,Tablet,Electronics,West,7,7224,479.23
08-05-2023,Monitor,Accessories,South,9,6939,1249.31
18-02-2023,Smartphone,Electronics,East,7,5516,1475.67
29-01-2022,Printer,Office,South,2,2224,116.47
12-01-2023,Laptop,Electronics,South,5,3985,824.4
03-01-2022,Camera,Electronics,North,7,2723,638.26
20-10-2022,Tablet,Electronics,North,2,746,170.75
21-08-2024,Laptop,Electronics,West,5,3170,245.25
11-12-2023,Smartwatch,Electronics,East,5,550,63.11
14-08-2022,Tablet,Electronics,North,8,480,132.45
03-06-2024,Printer,Office,East,4,3284,354.4
23-01-2024,Smartwatch,Electronics,South,2,1748,183.75
20-11-2023,Headphones,Accessories,North,8,824,240.84
03-03-2022,Headphones,Accessories,North,4,1872,448.46
20-02-2024,Tablet,Electronics,West,3,627,103.98
09-08-2024,Camera,Electronics,East,9,5661,1104.02
19-06-2022,Camera,Electronics,North,3,2910,765.47
01-09-2024,Tablet,Electronics,South,9,9036,1087.46
30-08-2024,Tablet,Electronics,West,5,4815,338.31
12-08-2022,Mouse,Accessories,South,1,1187,206.28
04-08-2022,Headphones,Accessories,East,3,3339,732.92
20-02-2024,Tablet,Electronics,East,1,620,165.43
26-02-2023,Camera,Electronics,West,5,2025,414.42
20-11-2024,Printer,Office,East,5,3030,811.92
12-08-2023,Smartwatch,Electronics,North,5,655,166.69
17-01-2022,Printer,Office,West,2,2238,294.54
12-04-2023,Smartphone,Electronics,South,8,3312,811.31
26-07-2023,Printer,Office,East,9,9387,1271.64
01-01-2024,Mouse,Accessories,West,6,5790,1285.21
06-12-2023,Laptop,Electronics,South,6,2700,527.97
05-12-2023,Smartwatch,Electronics,East,8,2072,555.06
27-10-2024,Keyboard,Accessories,North,3,2991,716.54
04-08-2024,Laptop,Electronics,East,6,5568,958.59
01-02-2023,Smartwatch,Electronics,North,7,5509,1648.74
02-06-2024,Printer,Office,West,7,5922,1323.1
28-04-2024,Smartphone,Electronics,South,4,4380,362.81
25-03-2022,Tablet,Electronics,South,5,1760,272.68
05-10-2024,Headphones,Accessories,North,9,5571,1523.81
19-12-2024,Tablet,Electronics,South,2,1082,182.1
18-07-2022,Camera,Electronics,East,1,569,138.11
11-06-2023,Mouse,Accessories,North,8,3416,697.42
13-10-2024,Printer,Office,West,1,570,57.07
07-08-2023,Monitor,Accessories,East,6,3300,386.92
04-12-2022,Laptop,Electronics,South,8,2584,568.77
18-02-2024,Monitor,Accessories,South,9,7650,2204.44
05-12-2024,Headphones,Accessories,West,8,3600,272.51
15-12-2023,Monitor,Accessories,West,6,846,190.87
12-08-2023,Smartphone,Electronics,West,1,51,9.36
20-05-2024,Smartwatch,Electronics,South,6,7056,586.91
05-06-2024,Smartwatch,Electronics,West,2,384,38.41
09-01-2022,Laptop,Electronics,South,8,2928,663.54
17-12-2023,Camera,Electronics,West,7,1904,352.86
08-09-2022,Tablet,Electronics,East,2,2314,312.07
22-01-2022,Printer,Office,South,4,1028,192.13
04-09-2024,Headphones,Accessories,South,9,8307,1326.23
20-01-2024,Printer,Office,West,9,1539,203.54
03-11-2022,Tablet,Electronics,West,7,2506,537.98
03-07-2023,Smartphone,Electronics,West,6,5778,1232.54
25-01-2024,Tablet,Electronics,East,9,10188,2165.78
11-05-2024,Monitor,Accessories,North,1,952,157.7
02-01-2024,Smartwatch,Electronics,West,8,3624,750.86
24-02-2023,Keyboard,Accessories,South,8,7968,1551.12
20-07-2024,Mouse,Accessories,South,2,1254,250.09
14-06-2023,Printer,Office,West,3,705,196.05
10-04-2022,Mouse,Accessories,West,1,916,223.5
01-10-2024,Printer,Office,North,2,848,129.96
10-05-2022,Monitor,Accessories,East,8,2240,313.17
28-01-2022,Monitor,Accessories,South,1,940,120.35
05-04-2023,Headphones,Accessories,West,5,1550,203.51
22-09-2023,Keyboard,Accessories,South,7,2352,256.4
29-08-2024,Smartwatch,Electronics,North,9,1638,183.75
18-11-2023,Camera,Electronics,North,6,7164,1442.72
12-09-2023,Mouse,Accessories,East,1,205,54.54
26-05-2023,Keyboard,Accessories,North,2,766,49.23
30-04-2023,Keyboard,Accessories,North,1,168,17.84
01-11-2024,Mouse,Accessories,South,1,1058,207.55
06-05-2022,Keyboard,Accessories,South,5,1455,423.81
10-05-2023,Camera,Electronics,East,2,2224,364.04
04-11-2022,Smartphone,Electronics,West,7,1400,80.49
09-05-2022,Smartphone,Electronics,East,7,7567,2213.18
07-11-2022,Tablet,Electronics,East,6,3396,987.68
11-08-2023,Smartwatch,Electronics,East,2,704,135.63
21-10-2024,Tablet,Electronics,East,9,7767,2172.19
06-10-2024,Mouse,Accessories,West,5,2050,157.13
08-08-2023,Monitor,Accessories,North,9,10458,2799.48
19-01-2022,Camera,Electronics,South,4,4700,619.26
30-04-2024,Smartphone,Electronics,North,2,892,222.51
26-12-2023,Laptop,Electronics,East,8,6968,1479.09
07-04-2024,Laptop,Electronics,North,7,1344,300.88
18-10-2022,Camera,Electronics,West,1,354,65.99
21-04-2024,Monitor,Accessories,South,3,3051,662.23
26-03-2024,Camera,Electronics,South,3,402,106.87
31-10-2022,Monitor,Accessories,North,5,3570,517.82
03-03-2023,Keyboard,Accessories,North,7,3829,876.35
03-02-2023,Mouse,Accessories,North,7,4676,242.64
15-04-2023,Keyboard,Accessories,East,3,1119,317.36
09-05-2023,Smartphone,Electronics,East,4,4228,764.3
02-01-2022,Headphones,Accessories,North,8,1240,251.2
28-11-2024,Keyboard,Accessories,North,9,3591,342.18
05-02-2022,Printer,Office,West,8,3952,451.08
05-06-2024,Keyboard,Accessories,South,6,3648,1050.08
15-11-2024,Monitor,Accessories,North,5,3875,768.74
13-11-2023,Smartwatch,Electronics,West,8,3416,478.9
19-02-2022,Tablet,Electronics,West,1,908,222.58
06-05-2024,Headphones,Accessories,South,4,4532,987.32
04-08-2023,Headphones,Accessories,East,4,4168,650.15
23-09-2023,Laptop,Electronics,North,3,3543,941.37
14-09-2024,Laptop,Electronics,East,6,5124,1078.57
17-03-2023,Smartwatch,Electronics,South,9,5751,1196.23
29-09-2023,Camera,Electronics,East,2,624,139.64
01-12-2023,Camera,Electronics,South,1,508,151.29
13-09-2023,Headphones,Accessories,South,4,4700,914.6
14-03-2022,Keyboard,Accessories,West,8,3216,639.78
15-07-2023,Laptop,Electronics,West,6,2844,581
29-05-2022,Smartphone,Electronics,West,5,2385,258.6
16-01-2023,Monitor,Accessories,South,8,928,170.05
06-09-2023,Headphones,Accessories,North,6,4656,673.35
29-03-2023,Headphones,Accessories,North,2,330,21.46
01-11-2023,Camera,Electronics,North,7,1799,274.11
25-08-2022,Printer,Office,East,1,1029,173.61
30-12-2022,Headphones,Accessories,North,8,5432,1619.39
04-09-2024,Camera,Electronics,West,5,5785,1191.11
08-01-2024,Printer,Office,North,1,1062,272.42
27-12-2022,Keyboard,Accessories,North,1,163,22.07
14-04-2024,Smartphone,Electronics,West,9,9162,1625.62
10-02-2023,Printer,Office,East,4,1440,130.24
15-07-2023,Monitor,Accessories,South,5,1465,149.62
27-10-2024,Monitor,Accessories,West,2,366,31.23
19-07-2024,Camera,Electronics,South,5,3135,277.28
03-03-2024,Keyboard,Accessories,North,2,630,161.04
